"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.352752230E-1,1.834607124E1,-4.524827480E0,1.316052526E-1
8.376703270E-1,1.855185318E1,-4.953442097E0,3.113660514E-1
8.400662130E-1,1.866910172E1,-5.331807137E0,8.234301209E-1
8.424620980E-1,1.880100632E1,-5.321936607E0,1.357328653E0
8.448571500E-1,1.879113579E1,-5.774479389E0,1.417448282E0
8.472522540E-1,1.910968018E1,-6.203093529E0,1.424626827E0
8.496481400E-1,1.948086739E1,-6.559923172E0,1.541875124E0
8.520440250E-1,1.972971916E1,-6.519245148E0,1.960619092E0
8.544390770E-1,1.938993835E1,-7.098607540E0,1.876870275E0
8.568341810E-1,1.926760674E1,-7.754539967E0,1.671087503E0
8.592300670E-1,1.906900215E1,-8.204689980E0,1.728515267E0
8.616259520E-1,1.857578087E1,-8.429615021E0,1.879263043E0
8.640210040E-1,1.798684692E1,-8.501399994E0,2.085345030E0
8.664161080E-1,1.745055580E1,-8.360222816E0,2.496910334E0
8.688119940E-1,1.701715660E1,-8.099106789E0,3.093321562E0
8.712078270E-1,1.672523117E1,-7.929215908E0,3.794717550E0
8.736029310E-1,1.651436424E1,-7.790432453E0,4.484149456E0
8.759980360E-1,1.625593948E1,-7.646862984E0,4.996512890E0
8.783939210E-1,1.571247005E1,-7.596613884E0,5.202295303E0
8.807897540E-1,1.509482288E1,-7.574779034E0,5.147260666E0
8.831848580E-1,1.379252911E1,-7.651648521E0,4.802694321E0
8.855799630E-1,1.264576817E1,-7.577471256E0,4.484149456E0
8.879758480E-1,1.198953724E1,-7.972286701E0,3.706183195E0
8.903716810E-1,1.216211891E1,-8.058428764E0,3.239283562E0
8.927667330E-1,1.184836006E1,-7.800003529E0,3.227319479E0
8.951618380E-1,1.141496086E1,-7.800003529E0,3.090928555E0
8.975577750E-1,1.114457130E1,-7.807182312E0,2.686242580E0
8.999536080E-1,1.080688477E1,-7.910073280E0,2.240878344E0
9.023486610E-1,1.046231747E1,-8.024929047E0,1.819442511E0
9.047437650E-1,1.023470020E1,-8.079963684E0,1.400399446E0
9.071397020E-1,1.012223816E1,-8.084749222E0,1.144367456E0
9.095355360E-1,9.818050385E0,-7.878966808E0,1.063011408E0
9.119305880E-1,9.576375008E0,-7.843074322E0,9.266205430E-1
9.143256920E-1,9.277272224E0,-7.917252064E0,8.476574421E-1
9.167215770E-1,8.953942299E0,-7.890930653E0,7.588238716E-1
9.191174630E-1,8.702695847E0,-8.017750740E0,7.731808424E-1
9.215125150E-1,8.513363838E0,-8.103892326E0,7.731808424E-1
9.239076190E-1,8.393722534E0,-8.231010437E0,9.146564603E-1
9.263035040E-1,8.175975800E0,-8.465507507E0,1.074975610E0
9.286993900E-1,7.943572998E0,-8.707481384E0,1.041476011E0
9.310944420E-1,7.835896015E0,-9.042476654E0,1.029511929E0
9.334895460E-1,7.687541008E0,-9.221938133E0,1.067797065E0
9.358854310E-1,7.412067413E0,-9.329915047E0,7.444669604E-1
9.382813170E-1,7.179963589E0,-9.473484039E0,6.939185411E-2
9.406763690E-1,7.043572426E0,-9.636196136E0,-2.946162820E-1
9.430714730E-1,6.933203697E0,-9.810872078E0,-8.135596663E-2
9.454673580E-1,6.923632145E0,-1.003609657E1,4.429712892E-1
9.478632440E-1,7.009773731E0,-1.035194874E1,9.409775138E-1
9.502582960E-1,7.127321243E0,-1.061545849E1,1.436590910E0
9.526534000E-1,7.223034382E0,-1.087627602E1,1.740479350E0
9.550492860E-1,7.345067978E0,-1.114457130E1,1.941476464E0
9.574451190E-1,7.495816231E0,-1.138385391E1,2.161915302E0
